Budget_initial,Source_financement,Estimation_ROI,Taille_marche,Demande_actuelle,Nombre_concurrents,Avantage_concurrentiel,Impact_social,Impact_environnemental,Conformite_normes,Prevision_rentabilite,Capacite_fonds,Score_faisabilite
<50k,Prêt bancaire,<1 an,International,Faible,>5,Aucun,Autre,Neutre,Non,1-3 ans,Facile,55
<50k,Prêt bancaire,<1 an,International,Faible,<5,Qualité,Autre,Neutre,Oui,>3 ans,Difficile,76
50k-100k,Autre,>3 ans,International,Forte,>5,Aucun,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,50
50k-100k,Autre,1-3 ans,Régional,Modérée,Aucun,Prix,Aucun,Écologique,Non,1-3 ans,Difficile,67
50k-100k,Autre,1-3 ans,National,Forte,>5,Innovation,Aucun,Neutre,Non,<1 an,Facile,35
50k-100k,Investisseur,1-3 ans,International,Faible,>5,Aucun,Autre,Neutre,Oui,1-3 ans,Difficile,55
50k-100k,Prêt bancaire,1-3 ans,International,Faible,<5,Prix,Amélioration conditions de vie,Neutre,Non,1-3 ans,Facile,31
50k-100k,Prêt bancaire,<1 an,Régional,Modérée,Aucun,Prix,Autre,Neutre,Oui,<1 an,Difficile,51
>100k,Autre,1-3 ans,Local,Forte,<5,Aucun,Création emplois,Polluant,Oui,<1 an,Difficile,30
50k-100k,Investisseur,1-3 ans,National,Faible,>5,Innovation,Autre,Polluant,Non,>3 ans,Difficile,70
>100k,Prêt bancaire,1-3 ans,International,Faible,>5,Aucun,Amélioration conditions de vie,Neutre,Oui,>3 ans,Facile,35
<50k,Prêt bancaire,<1 an,Régional,Forte,Aucun,Aucun,Amélioration conditions de vie,Neutre,Non,<1 an,Difficile,82
>100k,Prêt bancaire,>3 ans,National,Modérée,>5,Prix,Autre,Neutre,Non,1-3 ans,Difficile,45
50k-100k,Prêt bancaire,>3 ans,Régional,Faible,>5,Prix,Autre,Neutre,Non,<1 an,Facile,55
<50k,Investisseur,<1 an,Local,Modérée,>5,Qualité,Autre,Écologique,Non,>3 ans,Difficile,64
<50k,Prêt bancaire,>3 ans,Régional,Faible,<5,Aucun,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,42
50k-100k,Fonds propres,>3 ans,Local,Modérée,Aucun,Innovation,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,91
>100k,Prêt bancaire,1-3 ans,National,Modérée,<5,Prix,Aucun,Polluant,Non,1-3 ans,Facile,35
50k-100k,Prêt bancaire,>3 ans,National,Modérée,Aucun,Aucun,Autre,Neutre,Oui,1-3 ans,Difficile,74
<50k,Prêt bancaire,>3 ans,Régional,Modérée,Aucun,Prix,Création emplois,Neutre,Oui,1-3 ans,Facile,45
50k-100k,Fonds propres,>3 ans,Local,Modérée,>5,Qualité,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,85
>100k,Prêt bancaire,<1 an,Régional,Faible,Aucun,Prix,Aucun,Écologique,Oui,<1 an,Facile,90
50k-100k,Fonds propres,>3 ans,Local,Faible,>5,Prix,Aucun,Polluant,Non,>3 ans,Facile,58
>100k,Autre,>3 ans,Local,Modérée,<5,Prix,Création emplois,Écologique,Non,>3 ans,Difficile,89
>100k,Prêt bancaire,<1 an,Local,Modérée,<5,Prix,Autre,Écologique,Oui,<1 an,Difficile,99
<50k,Investisseur,>3 ans,International,Modérée,<5,Innovation,Autre,Écologique,Oui,1-3 ans,Difficile,49
>100k,Fonds propres,>3 ans,Régional,Faible,Aucun,Aucun,Autre,Polluant,Oui,1-3 ans,Facile,63
50k-100k,Autre,1-3 ans,National,Modérée,<5,Aucun,Création emplois,Polluant,Oui,1-3 ans,Difficile,36
50k-100k,Fonds propres,>3 ans,International,Modérée,<5,Aucun,Création emplois,Polluant,Oui,<1 an,Difficile,77
50k-100k,Investisseur,1-3 ans,Régional,Faible,Aucun,Qualité,Création emplois,Écologique,Non,1-3 ans,Facile,53
<50k,Prêt bancaire,<1 an,Local,Faible,Aucun,Qualité,Création emplois,Polluant,Oui,<1 an,Difficile,96
50k-100k,Prêt bancaire,1-3 ans,International,Modérée,>5,Innovation,Aucun,Polluant,Non,>3 ans,Difficile,92
50k-100k,Investisseur,<1 an,National,Faible,>5,Prix,Amélioration conditions de vie,Neutre,Oui,>3 ans,Facile,30
50k-100k,Prêt bancaire,<1 an,International,Faible,Aucun,Aucun,Création emplois,Neutre,Non,>3 ans,Difficile,41
>100k,Investisseur,>3 ans,Local,Modérée,<5,Aucun,Amélioration conditions de vie,Écologique,Non,>3 ans,Facile,35
<50k,Prêt bancaire,1-3 ans,Local,Modérée,Aucun,Aucun,Création emplois,Neutre,Oui,1-3 ans,Facile,47
>100k,Prêt bancaire,<1 an,National,Modérée,<5,Prix,Création emplois,Écologique,Oui,<1 an,Facile,79
>100k,Investisseur,>3 ans,National,Forte,>5,Aucun,Autre,Polluant,Non,>3 ans,Difficile,61
<50k,Fonds propres,<1 an,International,Faible,Aucun,Qualité,Autre,Neutre,Oui,>3 ans,Difficile,40
50k-100k,Prêt bancaire,1-3 ans,National,Forte,<5,Aucun,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,77
50k-100k,Autre,<1 an,Régional,Modérée,Aucun,Prix,Amélioration conditions de vie,Écologique,Non,<1 an,Facile,86
50k-100k,Prêt bancaire,1-3 ans,International,Forte,>5,Aucun,Autre,Polluant,Non,<1 an,Difficile,61
50k-100k,Fonds propres,>3 ans,National,Modérée,Aucun,Qualité,Aucun,Neutre,Oui,1-3 ans,Difficile,62
>100k,Prêt bancaire,<1 an,Régional,Faible,<5,Innovation,Amélioration conditions de vie,Écologique,Oui,>3 ans,Facile,43
>100k,Prêt bancaire,<1 an,International,Forte,>5,Prix,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,71
>100k,Prêt bancaire,>3 ans,Régional,Forte,>5,Innovation,Aucun,Écologique,Non,1-3 ans,Difficile,97
50k-100k,Fonds propres,1-3 ans,International,Modérée,>5,Qualité,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,87
<50k,Autre,>3 ans,International,Forte,<5,Qualité,Création emplois,Neutre,Oui,<1 an,Difficile,97
>100k,Autre,<1 an,Local,Faible,<5,Aucun,Création emplois,Écologique,Non,>3 ans,Facile,88
<50k,Fonds propres,1-3 ans,Régional,Forte,>5,Aucun,Autre,Neutre,Oui,<1 an,Difficile,68
>100k,Fonds propres,<1 an,International,Forte,Aucun,Innovation,Amélioration conditions de vie,Neutre,Non,>3 ans,Difficile,55
<50k,Investisseur,<1 an,International,Forte,>5,Qualité,Autre,Neutre,Non,1-3 ans,Difficile,32
<50k,Investisseur,<1 an,Local,Faible,<5,Prix,Création emplois,Neutre,Non,>3 ans,Facile,92
>100k,Investisseur,<1 an,Régional,Modérée,Aucun,Prix,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,43
<50k,Prêt bancaire,1-3 ans,National,Faible,Aucun,Prix,Aucun,Écologique,Non,>3 ans,Difficile,59
50k-100k,Autre,>3 ans,Régional,Modérée,Aucun,Prix,Aucun,Polluant,Oui,>3 ans,Difficile,47
50k-100k,Fonds propres,>3 ans,International,Forte,Aucun,Aucun,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,40
<50k,Prêt bancaire,>3 ans,National,Faible,>5,Aucun,Autre,Neutre,Non,<1 an,Facile,86
>100k,Investisseur,>3 ans,Régional,Faible,Aucun,Aucun,Autre,Polluant,Oui,>3 ans,Facile,95
>100k,Prêt bancaire,>3 ans,Régional,Modérée,>5,Aucun,Autre,Écologique,Oui,<1 an,Difficile,36
50k-100k,Autre,>3 ans,Régional,Forte,>5,Prix,Aucun,Écologique,Non,>3 ans,Difficile,46
<50k,Prêt bancaire,>3 ans,Local,Forte,Aucun,Qualité,Création emplois,Polluant,Oui,>3 ans,Facile,32
>100k,Prêt bancaire,<1 an,Local,Faible,<5,Qualité,Création emplois,Neutre,Oui,<1 an,Facile,93
50k-100k,Fonds propres,>3 ans,Local,Modérée,Aucun,Aucun,Création emplois,Écologique,Non,<1 an,Facile,53
50k-100k,Prêt bancaire,1-3 ans,Local,Modérée,Aucun,Prix,Autre,Polluant,Non,<1 an,Facile,76
50k-100k,Fonds propres,<1 an,International,Forte,Aucun,Innovation,Autre,Polluant,Oui,<1 an,Facile,51
>100k,Prêt bancaire,<1 an,Local,Forte,>5,Prix,Aucun,Neutre,Non,<1 an,Difficile,97
>100k,Investisseur,1-3 ans,Régional,Forte,<5,Innovation,Amélioration conditions de vie,Écologique,Non,<1 an,Facile,91
<50k,Autre,>3 ans,Local,Forte,Aucun,Prix,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,80
50k-100k,Prêt bancaire,1-3 ans,National,Modérée,<5,Innovation,Aucun,Neutre,Oui,>3 ans,Facile,44
<50k,Autre,>3 ans,Régional,Modérée,>5,Prix,Amélioration conditions de vie,Écologique,Oui,>3 ans,Facile,87
<50k,Fonds propres,1-3 ans,Local,Modérée,>5,Aucun,Création emplois,Écologique,Non,1-3 ans,Facile,79
<50k,Fonds propres,<1 an,National,Forte,<5,Prix,Aucun,Polluant,Non,<1 an,Facile,97
<50k,Fonds propres,1-3 ans,Local,Faible,>5,Prix,Création emplois,Écologique,Non,<1 an,Facile,39
50k-100k,Fonds propres,<1 an,National,Faible,Aucun,Aucun,Aucun,Polluant,Non,>3 ans,Facile,56
<50k,Investisseur,<1 an,Régional,Forte,<5,Prix,Création emplois,Polluant,Oui,>3 ans,Facile,68
>100k,Autre,<1 an,International,Modérée,Aucun,Prix,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,94
50k-100k,Prêt bancaire,1-3 ans,Local,Forte,Aucun,Innovation,Aucun,Neutre,Non,1-3 ans,Facile,33
50k-100k,Investisseur,<1 an,Régional,Forte,<5,Qualité,Création emplois,Neutre,Non,1-3 ans,Difficile,79
<50k,Autre,<1 an,Régional,Forte,Aucun,Qualité,Création emplois,Écologique,Oui,>3 ans,Facile,90
50k-100k,Fonds propres,1-3 ans,Régional,Forte,<5,Prix,Création emplois,Neutre,Oui,<1 an,Facile,42
<50k,Fonds propres,>3 ans,International,Modérée,<5,Aucun,Aucun,Polluant,Non,<1 an,Facile,36
50k-100k,Autre,>3 ans,National,Forte,Aucun,Innovation,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,67
50k-100k,Fonds propres,1-3 ans,Local,Faible,<5,Qualité,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,57
>100k,Fonds propres,<1 an,International,Modérée,>5,Aucun,Autre,Neutre,Non,>3 ans,Facile,54
<50k,Prêt bancaire,<1 an,Local,Faible,>5,Prix,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,81
<50k,Autre,>3 ans,International,Modérée,<5,Prix,Aucun,Neutre,Non,<1 an,Difficile,66
<50k,Fonds propres,>3 ans,Local,Modérée,>5,Qualité,Création emplois,Écologique,Non,<1 an,Facile,68
<50k,Prêt bancaire,1-3 ans,Régional,Modérée,Aucun,Prix,Création emplois,Neutre,Oui,1-3 ans,Difficile,62
<50k,Fonds propres,1-3 ans,National,Forte,Aucun,Aucun,Création emplois,Écologique,Non,1-3 ans,Facile,58
<50k,Autre,<1 an,Régional,Forte,<5,Qualité,Autre,Polluant,Non,<1 an,Difficile,62
>100k,Autre,1-3 ans,Régional,Forte,<5,Aucun,Création emplois,Écologique,Non,>3 ans,Facile,52
<50k,Investisseur,>3 ans,Local,Faible,<5,Prix,Aucun,Polluant,Non,<1 an,Difficile,91
50k-100k,Fonds propres,1-3 ans,International,Faible,<5,Aucun,Autre,Polluant,Oui,>3 ans,Facile,96
50k-100k,Fonds propres,<1 an,Local,Faible,Aucun,Aucun,Autre,Neutre,Oui,>3 ans,Difficile,89
50k-100k,Autre,>3 ans,Régional,Forte,Aucun,Qualité,Autre,Polluant,Non,>3 ans,Facile,46
50k-100k,Investisseur,>3 ans,International,Modérée,Aucun,Innovation,Création emplois,Écologique,Oui,1-3 ans,Difficile,57
>100k,Prêt bancaire,<1 an,International,Modérée,<5,Prix,Aucun,Écologique,Non,<1 an,Facile,68
>100k,Prêt bancaire,>3 ans,Local,Forte,Aucun,Innovation,Aucun,Neutre,Oui,>3 ans,Difficile,39
50k-100k,Prêt bancaire,1-3 ans,Régional,Modérée,<5,Aucun,Aucun,Écologique,Non,>3 ans,Difficile,45
50k-100k,Prêt bancaire,1-3 ans,Local,Modérée,<5,Aucun,Aucun,Écologique,Non,<1 an,Difficile,78
>100k,Autre,>3 ans,Régional,Modérée,>5,Innovation,Création emplois,Neutre,Oui,>3 ans,Facile,32
>100k,Autre,1-3 ans,National,Modérée,<5,Qualité,Amélioration conditions de vie,Écologique,Non,<1 an,Facile,50
50k-100k,Investisseur,>3 ans,International,Faible,>5,Qualité,Aucun,Polluant,Oui,<1 an,Facile,67
50k-100k,Fonds propres,>3 ans,National,Faible,>5,Aucun,Autre,Polluant,Oui,1-3 ans,Facile,32
<50k,Investisseur,>3 ans,Local,Faible,<5,Prix,Autre,Neutre,Oui,<1 an,Difficile,63
<50k,Prêt bancaire,1-3 ans,International,Faible,Aucun,Aucun,Autre,Écologique,Oui,<1 an,Facile,67
<50k,Investisseur,<1 an,Régional,Modérée,Aucun,Innovation,Création emplois,Écologique,Oui,<1 an,Difficile,55
>100k,Prêt bancaire,<1 an,International,Forte,<5,Prix,Autre,Neutre,Oui,1-3 ans,Difficile,70
<50k,Autre,<1 an,Régional,Forte,Aucun,Prix,Autre,Polluant,Oui,>3 ans,Facile,61
<50k,Prêt bancaire,>3 ans,Régional,Faible,>5,Innovation,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,36
<50k,Autre,<1 an,International,Forte,Aucun,Prix,Autre,Neutre,Oui,<1 an,Difficile,72
<50k,Investisseur,<1 an,Local,Faible,Aucun,Qualité,Aucun,Neutre,Oui,<1 an,Difficile,49
<50k,Prêt bancaire,1-3 ans,International,Forte,Aucun,Qualité,Amélioration conditions de vie,Neutre,Non,<1 an,Difficile,96
>100k,Investisseur,<1 an,National,Forte,>5,Qualité,Création emplois,Neutre,Non,>3 ans,Difficile,33
>100k,Fonds propres,<1 an,Régional,Faible,<5,Qualité,Amélioration conditions de vie,Neutre,Non,1-3 ans,Facile,70
50k-100k,Investisseur,1-3 ans,Local,Modérée,>5,Prix,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,56
<50k,Prêt bancaire,1-3 ans,International,Forte,Aucun,Innovation,Amélioration conditions de vie,Neutre,Non,1-3 ans,Facile,82
>100k,Investisseur,1-3 ans,Régional,Forte,>5,Aucun,Création emplois,Neutre,Non,<1 an,Facile,93
>100k,Prêt bancaire,>3 ans,Local,Forte,<5,Prix,Autre,Écologique,Oui,<1 an,Facile,65
50k-100k,Investisseur,>3 ans,Régional,Faible,Aucun,Innovation,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,84
>100k,Fonds propres,>3 ans,Local,Modérée,Aucun,Innovation,Aucun,Écologique,Oui,>3 ans,Facile,49
50k-100k,Prêt bancaire,<1 an,International,Faible,>5,Qualité,Aucun,Polluant,Non,<1 an,Difficile,68
>100k,Investisseur,<1 an,Local,Faible,<5,Aucun,Création emplois,Neutre,Oui,1-3 ans,Difficile,96
50k-100k,Investisseur,>3 ans,International,Forte,<5,Aucun,Autre,Neutre,Non,>3 ans,Difficile,95
50k-100k,Prêt bancaire,>3 ans,Local,Faible,>5,Prix,Création emplois,Polluant,Non,>3 ans,Facile,31
<50k,Investisseur,1-3 ans,International,Modérée,>5,Prix,Création emplois,Polluant,Non,>3 ans,Facile,74
<50k,Autre,<1 an,Régional,Faible,Aucun,Aucun,Autre,Écologique,Non,<1 an,Facile,33
>100k,Prêt bancaire,<1 an,National,Forte,<5,Innovation,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,35
50k-100k,Autre,<1 an,International,Modérée,>5,Innovation,Aucun,Polluant,Oui,>3 ans,Difficile,41
50k-100k,Prêt bancaire,<1 an,Local,Modérée,>5,Innovation,Création emplois,Polluant,Oui,<1 an,Difficile,72
>100k,Autre,>3 ans,National,Modérée,>5,Prix,Aucun,Polluant,Oui,<1 an,Facile,93
<50k,Investisseur,<1 an,Local,Modérée,>5,Qualité,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,95
>100k,Prêt bancaire,<1 an,International,Faible,>5,Aucun,Création emplois,Polluant,Non,>3 ans,Difficile,77
50k-100k,Investisseur,>3 ans,National,Faible,>5,Prix,Autre,Écologique,Non,1-3 ans,Difficile,86
50k-100k,Investisseur,1-3 ans,International,Faible,Aucun,Innovation,Aucun,Écologique,Oui,>3 ans,Difficile,88
50k-100k,Autre,1-3 ans,National,Forte,<5,Qualité,Aucun,Écologique,Oui,>3 ans,Facile,35
<50k,Prêt bancaire,>3 ans,National,Faible,<5,Aucun,Création emplois,Écologique,Oui,>3 ans,Difficile,69
>100k,Investisseur,1-3 ans,International,Modérée,Aucun,Qualité,Aucun,Écologique,Non,>3 ans,Facile,53
50k-100k,Fonds propres,<1 an,Local,Faible,>5,Innovation,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,65
>100k,Autre,>3 ans,Régional,Modérée,Aucun,Innovation,Autre,Polluant,Oui,<1 an,Facile,98
<50k,Investisseur,1-3 ans,National,Faible,>5,Prix,Aucun,Neutre,Oui,>3 ans,Difficile,77
<50k,Fonds propres,>3 ans,Local,Forte,<5,Aucun,Autre,Polluant,Oui,<1 an,Difficile,55
50k-100k,Autre,<1 an,International,Modérée,Aucun,Qualité,Création emplois,Écologique,Non,>3 ans,Facile,77
50k-100k,Investisseur,<1 an,Régional,Forte,<5,Qualité,Création emplois,Neutre,Non,1-3 ans,Difficile,100
>100k,Investisseur,1-3 ans,National,Faible,Aucun,Innovation,Aucun,Neutre,Oui,1-3 ans,Facile,89
>100k,Autre,>3 ans,National,Modérée,>5,Innovation,Création emplois,Écologique,Non,1-3 ans,Facile,36
<50k,Investisseur,>3 ans,Local,Modérée,>5,Prix,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,53
>100k,Autre,<1 an,International,Faible,<5,Prix,Aucun,Neutre,Non,>3 ans,Difficile,56
>100k,Autre,1-3 ans,National,Modérée,Aucun,Innovation,Création emplois,Polluant,Non,<1 an,Facile,86
50k-100k,Fonds propres,>3 ans,Local,Modérée,<5,Qualité,Aucun,Neutre,Oui,>3 ans,Facile,64
>100k,Fonds propres,<1 an,Local,Forte,<5,Innovation,Aucun,Neutre,Oui,1-3 ans,Difficile,90
50k-100k,Prêt bancaire,1-3 ans,National,Faible,Aucun,Prix,Aucun,Écologique,Oui,>3 ans,Difficile,48
<50k,Prêt bancaire,1-3 ans,International,Modérée,Aucun,Aucun,Autre,Écologique,Non,1-3 ans,Difficile,38
<50k,Autre,1-3 ans,National,Forte,Aucun,Qualité,Autre,Écologique,Oui,1-3 ans,Facile,98
>100k,Autre,<1 an,Local,Faible,>5,Aucun,Autre,Polluant,Non,>3 ans,Facile,46
>100k,Prêt bancaire,<1 an,Local,Faible,<5,Aucun,Création emplois,Polluant,Non,1-3 ans,Difficile,49
50k-100k,Investisseur,1-3 ans,National,Modérée,>5,Aucun,Autre,Polluant,Non,<1 an,Difficile,53
50k-100k,Prêt bancaire,<1 an,National,Modérée,>5,Innovation,Création emplois,Polluant,Oui,>3 ans,Difficile,46
<50k,Prêt bancaire,<1 an,International,Modérée,<5,Prix,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,65
>100k,Autre,<1 an,National,Faible,Aucun,Innovation,Création emplois,Polluant,Oui,1-3 ans,Facile,80
>100k,Autre,<1 an,National,Faible,Aucun,Innovation,Autre,Neutre,Oui,<1 an,Difficile,33
50k-100k,Fonds propres,>3 ans,National,Forte,<5,Prix,Autre,Polluant,Non,>3 ans,Difficile,91
50k-100k,Fonds propres,<1 an,Local,Modérée,<5,Aucun,Autre,Écologique,Oui,1-3 ans,Difficile,53
<50k,Investisseur,1-3 ans,International,Modérée,Aucun,Qualité,Aucun,Écologique,Oui,<1 an,Facile,50
<50k,Investisseur,>3 ans,Régional,Forte,>5,Qualité,Création emplois,Polluant,Oui,<1 an,Facile,39
50k-100k,Investisseur,1-3 ans,Local,Faible,<5,Aucun,Aucun,Polluant,Oui,<1 an,Facile,71
>100k,Prêt bancaire,<1 an,National,Forte,>5,Prix,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,77
50k-100k,Autre,<1 an,National,Forte,<5,Innovation,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,83
50k-100k,Investisseur,1-3 ans,National,Forte,<5,Qualité,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,35
<50k,Investisseur,>3 ans,Local,Forte,<5,Qualité,Création emplois,Polluant,Non,1-3 ans,Difficile,65
>100k,Autre,>3 ans,Régional,Faible,>5,Prix,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,40
50k-100k,Autre,>3 ans,Local,Faible,Aucun,Qualité,Autre,Écologique,Oui,>3 ans,Facile,90
>100k,Fonds propres,<1 an,Local,Faible,>5,Prix,Autre,Écologique,Non,<1 an,Facile,36
50k-100k,Autre,<1 an,Régional,Forte,Aucun,Prix,Création emplois,Écologique,Non,<1 an,Difficile,52
50k-100k,Prêt bancaire,<1 an,Local,Forte,Aucun,Innovation,Autre,Neutre,Oui,>3 ans,Difficile,85
>100k,Autre,<1 an,International,Faible,<5,Innovation,Aucun,Écologique,Oui,>3 ans,Difficile,32
>100k,Autre,<1 an,International,Faible,>5,Prix,Amélioration conditions de vie,Écologique,Oui,<1 an,Difficile,32
50k-100k,Investisseur,<1 an,Local,Faible,Aucun,Qualité,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,85
<50k,Prêt bancaire,<1 an,International,Forte,Aucun,Qualité,Autre,Neutre,Non,<1 an,Facile,41
>100k,Prêt bancaire,<1 an,International,Faible,>5,Innovation,Création emplois,Neutre,Oui,<1 an,Difficile,86
<50k,Autre,<1 an,National,Modérée,<5,Qualité,Création emplois,Polluant,Oui,1-3 ans,Difficile,90
50k-100k,Prêt bancaire,1-3 ans,International,Faible,>5,Aucun,Aucun,Écologique,Oui,<1 an,Facile,82
>100k,Prêt bancaire,1-3 ans,Régional,Forte,Aucun,Prix,Autre,Neutre,Non,<1 an,Difficile,75
50k-100k,Prêt bancaire,1-3 ans,International,Modérée,Aucun,Qualité,Autre,Polluant,Oui,>3 ans,Difficile,96
>100k,Autre,>3 ans,International,Modérée,>5,Prix,Autre,Écologique,Oui,1-3 ans,Difficile,83
<50k,Prêt bancaire,<1 an,National,Modérée,Aucun,Qualité,Autre,Polluant,Non,1-3 ans,Facile,32
>100k,Fonds propres,>3 ans,Local,Modérée,Aucun,Aucun,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,93
>100k,Autre,1-3 ans,Régional,Faible,>5,Innovation,Autre,Polluant,Non,>3 ans,Difficile,36
>100k,Investisseur,<1 an,Local,Modérée,>5,Prix,Autre,Écologique,Oui,1-3 ans,Difficile,55
>100k,Prêt bancaire,<1 an,Local,Faible,<5,Qualité,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,43
>100k,Investisseur,<1 an,Régional,Faible,>5,Innovation,Création emplois,Polluant,Oui,1-3 ans,Facile,74
>100k,Fonds propres,>3 ans,International,Modérée,<5,Qualité,Création emplois,Polluant,Non,1-3 ans,Facile,74
50k-100k,Fonds propres,>3 ans,National,Faible,<5,Qualité,Aucun,Écologique,Oui,<1 an,Facile,86
50k-100k,Fonds propres,1-3 ans,Régional,Forte,>5,Prix,Création emplois,Polluant,Oui,<1 an,Facile,90
<50k,Fonds propres,1-3 ans,International,Modérée,<5,Prix,Création emplois,Neutre,Non,>3 ans,Facile,100
>100k,Autre,>3 ans,Régional,Forte,<5,Aucun,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,79
>100k,Fonds propres,<1 an,International,Modérée,<5,Aucun,Autre,Polluant,Non,<1 an,Facile,96
<50k,Prêt bancaire,<1 an,International,Faible,>5,Qualité,Création emplois,Écologique,Oui,<1 an,Facile,48
50k-100k,Fonds propres,>3 ans,International,Modérée,>5,Aucun,Aucun,Écologique,Non,<1 an,Facile,82
<50k,Autre,1-3 ans,Local,Modérée,>5,Innovation,Création emplois,Neutre,Non,<1 an,Difficile,34
50k-100k,Autre,>3 ans,International,Forte,>5,Innovation,Autre,Polluant,Non,1-3 ans,Facile,96
50k-100k,Investisseur,1-3 ans,Local,Faible,<5,Innovation,Autre,Écologique,Oui,>3 ans,Facile,81
>100k,Fonds propres,1-3 ans,International,Forte,<5,Prix,Autre,Neutre,Oui,<1 an,Difficile,68
<50k,Fonds propres,<1 an,Régional,Modérée,>5,Aucun,Autre,Neutre,Oui,>3 ans,Facile,91
50k-100k,Investisseur,<1 an,Régional,Faible,>5,Aucun,Aucun,Neutre,Non,1-3 ans,Facile,35
50k-100k,Prêt bancaire,>3 ans,Local,Forte,<5,Aucun,Aucun,Écologique,Oui,<1 an,Facile,43
<50k,Autre,>3 ans,International,Forte,>5,Qualité,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,58
>100k,Investisseur,<1 an,Régional,Forte,Aucun,Qualité,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,88
<50k,Investisseur,<1 an,Local,Faible,<5,Prix,Création emplois,Neutre,Non,1-3 ans,Difficile,98
50k-100k,Fonds propres,<1 an,Local,Forte,>5,Prix,Aucun,Neutre,Non,>3 ans,Facile,38
<50k,Investisseur,<1 an,Local,Faible,>5,Innovation,Création emplois,Écologique,Non,<1 an,Facile,30
<50k,Prêt bancaire,>3 ans,National,Forte,>5,Prix,Aucun,Neutre,Oui,<1 an,Difficile,50
50k-100k,Fonds propres,>3 ans,International,Modérée,Aucun,Qualité,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,34
<50k,Fonds propres,<1 an,National,Forte,<5,Aucun,Autre,Neutre,Oui,>3 ans,Difficile,47
<50k,Prêt bancaire,<1 an,Régional,Forte,Aucun,Qualité,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,100
<50k,Investisseur,<1 an,Régional,Faible,Aucun,Qualité,Création emplois,Neutre,Non,1-3 ans,Difficile,68
50k-100k,Fonds propres,<1 an,National,Forte,<5,Innovation,Création emplois,Neutre,Non,>3 ans,Facile,77
<50k,Fonds propres,1-3 ans,Local,Forte,>5,Qualité,Création emplois,Écologique,Non,<1 an,Facile,84
>100k,Fonds propres,<1 an,Local,Forte,>5,Prix,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,92
>100k,Investisseur,1-3 ans,National,Forte,Aucun,Qualité,Création emplois,Neutre,Non,1-3 ans,Difficile,86
<50k,Fonds propres,<1 an,Régional,Modérée,>5,Innovation,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,71
>100k,Autre,1-3 ans,International,Faible,<5,Prix,Autre,Polluant,Oui,<1 an,Facile,66
<50k,Investisseur,>3 ans,International,Faible,>5,Prix,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,72
50k-100k,Investisseur,<1 an,Local,Faible,Aucun,Aucun,Création emplois,Neutre,Oui,>3 ans,Difficile,95
<50k,Fonds propres,1-3 ans,International,Forte,>5,Aucun,Création emplois,Polluant,Oui,>3 ans,Difficile,41
>100k,Investisseur,1-3 ans,National,Faible,<5,Innovation,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,77
<50k,Investisseur,<1 an,Local,Faible,>5,Aucun,Aucun,Écologique,Oui,>3 ans,Difficile,75
>100k,Fonds propres,1-3 ans,International,Faible,<5,Prix,Création emplois,Écologique,Oui,1-3 ans,Difficile,87
50k-100k,Fonds propres,1-3 ans,Local,Modérée,<5,Innovation,Aucun,Polluant,Oui,>3 ans,Facile,78
